,reactions
924,[CH2:7]([CH2:8][NH:9][C:10](=[O:12])[CH3:11])[C:6]1=[CH:5][CH:4]=[C:3]([CH:14]=[CH:13]1)[O:2][CH3:1]>>[N:9]1=[C:10]([CH3:11])[C:5]=2[C:6](=[CH:13][CH:14]=[C:3]([CH:4]=2)[O:2][CH3:1])[CH2:7][CH2:8]1
925,[CH3:20][C:19]([CH3:21])=[CH:18][CH2:17][C:16]=1[C:14](=[CH:13][C:11]([OH:12])=[C:8]([CH:9]=[O:10])[C:7]=1[C:5](=[O:6])[C:4]=2[C:3](=[C:28]([Cl:29])[C:26](=[C:24]([C:22]=2[OH:23])[Cl:25])[CH3:27])[O:2][CH3:1])[OH:15]>>[CH3:20][C:19]([CH3:21])=[CH:18][CH2:17][C:16]=1[C:7]2=[C:8]([C:11](=[CH:13][C:14]=1[OH:15])[OH:12])[C:9]([O:6][CH:5]2[C:4]=3[C:3](=[C:28]([Cl:29])[C:26](=[C:24]([Cl:25])[C:22]=3[OH:23])[CH3:27])[O:2][CH3:1])=[O:10]
926,[CH:11](=[CH:10][C:8](=[O:9])[O:7][CH2:6][CH3:5])[CH3:12].[CH3:1][C:2]([CH3:3])=[O:4]>>[C:2]1(=[O:4])[CH2:1][CH:11]([CH2:10][C:8](=[O:9])[CH2:3]1)[CH3:12]
927,[C:12]([CH3:11])#[CH:13].[C:5]1(=[CH:6][CH:7]=[CH:8][CH:9]=[CH:10]1)[CH2:4][N:3]=[N+:2]=[N-:1]>>[CH3:11][C:12]1=[CH:13][N:3]([CH2:4][C:5]2=[CH:10][CH:9]=[CH:8][CH:7]=[CH:6]2)[N:2]=[N:1]1
928,[CH:24]=1[CH:23]=[C:22]([CH:27]=[CH:26][CH:25]=1)[P:21]([C:28]2=[CH:33][CH:32]=[CH:31][CH:30]=[CH:29]2)([C:34]3=[CH:35][CH:36]=[CH:37][CH:38]=[CH:39]3)=[C:18]([C:19]#[N:20])[CH3:17].[N:4]1([C:12]2=[CH:13][CH:14]=[CH:15][CH:16]=[C:11]2[C:9](=[O:10])[CH:5]1[CH2:8][CH:7]=[CH2:6])[C:2]([CH3:1])=[O:3]>>[N:4]1([CH:5]=[C:9]([C:18]([C:19]#[N:20])([CH2:6][CH:7]=[CH2:8])[CH3:17])[C:11]2=[CH:16][CH:15]=[CH:14][CH:13]=[C:12]12)[C:2]([CH3:1])=[O:3]
929,[CH:9]1=[C:8]([Br:7])[C:11]([CH2:10]1)=[O:12].[CH:3]=1[CH2:2][CH2:1][CH:6]=[CH:5][CH:4]=1>>[CH:9]12[CH:6]3[CH2:1][CH2:2][CH:3]([CH:4]=[CH:5]3)[C:8]1([C:11]([CH2:10]2)=[O:12])[Br:7]
930,[C:18]=1([CH:23]=[CH:22][CH:21]=[CH:20][CH:19]=1)[C:16]([C:24]=2[CH:29]=[CH:28][CH:27]=[CH:26][CH:25]=2)([C:14]([O:13][CH3:12])=[O:15])[OH:17].[O:4]=[C:3]([CH2:5][C:6]1=[CH:7][CH:8]=[CH:9][CH:10]=[CH:11]1)[O:2][CH3:1]>>[C:18]1(=[CH:23][CH:22]=[CH:21][CH:20]=[CH:19]1)[C:16]2([C:24]3=[CH:29][CH:28]=[CH:27][CH:26]=[CH:25]3)[O:17][C:3](=[O:4])[CH:5]([C:14]2=[O:15])[C:6]4=[CH:7][CH:8]=[CH:9][CH:10]=[CH:11]4
931,[O:16]=[C:15]([C:17]1=[CH:18][CH:19]=[CH:20][CH:21]=[CH:22]1)[CH3:14].[O:3]=[S:2](=[O:4])([C:5]=1[NH:9][C:8]=2[C:7](=[CH:13][CH:12]=[CH:11][CH:10]=2)[N:6]=1)[CH3:1]>>[C:17]1(=[CH:18][CH:19]=[CH:20][CH:21]=[CH:22]1)[C:15](=[CH2:1])[CH3:14].[CH:11]1=[CH:12][CH:13]=[C:7]2[C:8]([NH:9][C:5]([NH:6]2)=[O:16])=[CH:10]1
932,[CH:15]=1[CH:16]=[CH:17][C:12](=[CH:13][CH:14]=1)[CH:11]=[O:10].[CH:22]=1[CH:23]=[CH:24][C:19](=[CH:20][CH:21]=1)[NH2:18].[O:3]=[C:2]([C:4]1=[CH:5][CH:6]=[CH:7][CH:8]=[CH:9]1)[CH3:1]>>[CH:15]1=[CH:16][CH:17]=[C:12]([CH:11]([NH:18][C:19]=2[CH:20]=[CH:21][CH:22]=[CH:23][CH:24]=2)[CH2:1][C:2](=[O:3])[C:4]3=[CH:5][CH:6]=[CH:7][CH:8]=[CH:9]3)[CH:13]=[CH:14]1
933,[CH:3]1=[C:2]([CH:7]=[CH:6][CH:5]=[CH:4]1)[Br:1].[CH:11]1=[CH:12][CH:13]=[CH:14][C:9]([CH2:8][Sn:15]([CH2:16][C:17]=2[CH:22]=[CH:21][CH:20]=[CH:19][CH:18]=2)([CH2:30][C:31]=3[CH:36]=[CH:35][CH:34]=[CH:33][CH:32]=3)[CH2:23][C:24]=4[CH:29]=[CH:28][CH:27]=[CH:26][CH:25]=4)=[CH:10]1>>[CH2:8]([C:9]1=[CH:14][CH:13]=[CH:12][CH:11]=[CH:10]1)[Sn:15]([CH2:16][C:17]2=[CH:22][CH:21]=[CH:20][CH:19]=[CH:18]2)([CH2:23][C:24]3=[CH:29][CH:28]=[CH:27][CH:26]=[CH:25]3)[Br:1].[CH:32]1=[C:31]([CH:36]=[CH:35][CH:34]=[CH:33]1)[CH2:30][C:2]2=[CH:7][CH:6]=[CH:5][CH:4]=[CH:3]2
934,[CH:23]1=[C:22]([C:20]([O:19][OH:18])=[O:21])[CH:27]=[CH:26][CH:25]=[CH:24]1.[F:15][C:14]([F:16])([F:17])[C:4](=[CH:5][CH2:6][CH2:7][C:8]=1[CH:13]=[CH:12][CH:11]=[CH:10][CH:9]=1)[O:3][CH2:2][CH3:1]>>[F:15][C:14]([F:16])([F:17])[C:4]1([O:18][CH:5]1[CH2:6][CH2:7][C:8]2=[CH:13][CH:12]=[CH:11][CH:10]=[CH:9]2)[O:3][CH2:2][CH3:1]
935,[C:13]1(=[CH:14][CH:15]=[CH:16][CH:17]=[CH:18]1)[P:12]([C:25]2=[CH:26][CH:27]=[CH:28][CH:29]=[CH:30]2)([C:19]3=[CH:20][CH:21]=[CH:22][CH:23]=[CH:24]3)=[C:10]([Cl:9])[Cl:11].[CH:6]=1[CH:7]=[CH:8][C:3](=[CH:4][CH:5]=1)[CH:2]=[O:1]>>[Cl:9][C:10]([Cl:11])=[CH:2][C:3]=1[CH:8]=[CH:7][CH:6]=[CH:5][CH:4]=1
936,[CH3:1][C:2]([CH3:3])=[CH:4][CH2:5][Br:6].[Mg:7]=[O:8]>>[CH3:1][C:2]([CH3:3])=[CH:4][CH2:5][Mg:7][Br:6]
937,[CH2:5]1[CH2:4][CH2:3][CH:2]([OH:1])[CH:7]([N:8]=[N+:9]=[N-:10])[CH2:6]1.[CH3:11][N:12]([CH3:13])[CH2:14][C:15]#[CH:16]>>[CH3:11][N:12]([CH3:13])[CH2:14][C:15]=1[N:10]=[N:9][N:8]([CH:7]2[CH2:6][CH2:5][CH2:4][CH2:3][CH:2]2[OH:1])[CH:16]=1
938,[CH2:5]1[CH2:6][CH2:7][CH2:8][CH2:9][C:4]1=[O:3].[OH:2][NH2:1]>>[CH2:5]1[CH2:6][CH2:7][CH2:8][CH2:9][C:4]1=[N:1][OH:2]
939,[CH2:3]([CH2:4][CH2:5][OH:6])[CH3:2].[ClH:1]>>[CH2:3]([CH2:4][CH2:5][Cl:1])[CH3:2]
940,[CH:4]1=[CH:3][CH:8]=[CH:7][N:6]=[CH:5]1.[NH2:1][Na:2]>>[CH:7]=1[N:6]=[C:5]([NH2:1])[CH:4]=[CH:3][CH:8]=1
941,[CH:7]=1[CH:8]=[CH:9][C:4](=[CH:5][CH:6]=1)[CH:3]=[O:2].[CH:15]=1[CH:16]=[CH:17][C:12](=[CH:13][CH:14]=1)[CH:11]=[O:10].[OH2:1]>>[CH:13]1=[C:12]([CH:17]=[CH:16][CH:15]=[CH:14]1)[CH2:11][OH:10]
942,[CH2:2]([C:3]#[CH:4])[OH:1].[CH:12]1=[C:11]2[C:16](=[CH:15][CH:14]=[CH:13]1)[C:17]=3[C:18](=[CH:19][CH:20]=[CH:21][CH:22]=3)[CH:10]2[CH2:9][O:8][C:6]([Cl:5])=[O:7]>>[C:16]1=2[C:17]3=[CH:22][CH:21]=[CH:20][CH:19]=[C:18]3[CH:10]([C:11]1=[CH:12][CH:13]=[CH:14][CH:15]=2)[CH2:9][O:8][C:6](=[O:7])[O:1][CH2:2][C:3]#[CH:4]
943,[CH2:2]([CH2:3][NH2:4])[CH3:1].[O:10]=[C:9]1[CH2:11][CH2:12][C:13](=[O:14])[N:8]1[O:7][C:6](=[O:5])[C:15]=2[CH:20]=[CH:19][CH:18]=[CH:17][CH:16]=2>>[C:15]1(=[CH:20][CH:19]=[CH:18][CH:17]=[CH:16]1)[C:6]([NH:4][CH2:3][CH2:2][CH3:1])=[O:5]
944,[CH3:1][C:2](=[O:3])[CH2:4][CH2:5][C:6]([CH3:7])=[O:8]>>[C:2]1([CH3:1])=[CH:4][CH:5]=[C:6]([CH3:7])[O:3]1
945,[C:12](=[O:13])([CH3:11])[O:14][C:15](=[O:17])[CH3:16].[CH:6]=1[CH:5]=[C:4]([C:9](=[CH:8][CH:7]=1)[OH:10])[C:2]([OH:1])=[O:3]>>[O:10]([C:15]([CH3:16])=[O:17])[C:9]1=[C:4]([C:2]([OH:1])=[O:3])[CH:5]=[CH:6][CH:7]=[CH:8]1
946,[C:10](=[O:11])([CH3:9])[O:12][C:13](=[O:15])[CH3:14].[CH:3]1=[C:2]([NH2:1])[CH:8]=[CH:7][C:5](=[CH:4]1)[OH:6]>>[CH:7]1=[CH:8][C:2](=[CH:3][CH:4]=[C:5]1[OH:6])[NH:1][C:13](=[O:15])[CH3:14]
947,[CH2:8]([C:9]#[N:10])[Br:7].[CH:2]1=[CH:1][CH:6]=[CH:5][N:4]=[CH:3]1>>[N:10]#[C:9][CH2:8][N+:4]=1[CH:5]=[CH:6][CH:1]=[CH:2][CH:3]=1
948,[CH:2]1=[CH:1][CH:6]=[CH:5][N:4]=[CH:3]1.[CH3:7][CH2:8][Br:9]>>[CH:6]1=[CH:5][N+:4]([CH2:8][CH3:7])=[CH:3][CH:2]=[CH:1]1
949,[CH:13]=1[C:11](=[CH:10][CH:9]=[C:8]([CH:14]=1)[C:6]([O:5][CH3:4])=[O:7])[OH:12].[CH3:1][CH2:2][Br:3]>>[C:11]1(=[CH:10][CH:9]=[C:8]([CH:14]=[CH:13]1)[C:6]([O:5][CH3:4])=[O:7])[O:12][CH2:2][CH3:1]
950,[C:5]1([O:4][CH2:3][CH2:2][CH3:1])=[CH:10][CH:9]=[CH:8][C:7]([C:11]([O:13][CH2:14][CH3:15])=[O:12])=[CH:6]1>>[O:4]([CH2:3][CH2:2][CH3:1])[C:5]1=[CH:10][CH:9]=[CH:8][C:7](=[CH:6]1)[CH2:11][OH:12]
951,[O:2]([C:3]1=[CH:10][CH:9]=[CH:8][CH:7]=[C:4]1[O:5][CH3:6])[CH3:1].[O:12]([C:13]1=[CH:20][CH:19]=[CH:18][CH:17]=[C:14]1[O:15][CH3:16])[CH3:11].[O:22]([C:23]1=[CH:30][CH:29]=[CH:28][CH:27]=[C:24]1[O:25][CH3:26])[CH3:21]>>[C:8]=12[C:9](=[CH:10][C:3](=[C:4]([CH:7]=1)[O:5][CH3:6])[O:2][CH3:1])[C:28]=3[CH:27]=[C:24]([C:23](=[CH:30][C:29]=3[C:19]=4[CH:20]=[C:13]([C:14](=[CH:17][C:18]2=4)[O:15][CH3:16])[O:12][CH3:11])[O:22][CH3:21])[O:25][CH3:26]
952,[Br:11][P:12]([Br:13])[Br:14].[OH:1][CH2:2][CH2:3][CH2:4][C:5]1=[CH:6][CH:7]=[CH:8][CH:9]=[CH:10]1>>[CH:10]=1[CH:9]=[CH:8][CH:7]=[CH:6][C:5]=1[CH2:4][CH2:3][CH2:2][Br:14]
953,[O:9]=[S:8](=[O:10])([NH:11][N:12]=[CH:13][C:14]1=[CH:15][CH:16]=[CH:17][CH:18]=[CH:19]1)[C:5]=2[CH:6]=[CH:7][C:2]([CH3:1])=[CH:3][CH:4]=2>>[CH:13]([C:14]=1[CH:19]=[CH:18][CH:17]=[CH:16][CH:15]=1)=[N+:12]=[N-:11].[S:8]([O-:9])([C:5]1=[CH:4][CH:3]=[C:2]([CH3:1])[CH:7]=[CH:6]1)=[O:10]
954,[O:12]([CH3:13])[C:11]=1[C:3](=[CH:4][C:5]([I:6])=[CH:7][C:8]=1[O:9][CH3:10])[O:2][CH3:1]>>[CH:4]1=[C:3]([OH:2])[C:11]([OH:12])=[C:8]([CH:7]=[C:5]1[I:6])[OH:9]
955,[C:2]1(=[O:1])[C:11]=2[C:6]([C:4](=[O:5])[O:3]1)=[CH:7][C:8]=3[C:15](=[O:16])[O:14][C:12](=[O:13])[C:9]=3[CH:10]=2.[CH:17]1=[CH:18][CH:19]=[CH:20][CH:21]=[CH:22]1.[CH:23]1=[CH:24][CH:25]=[CH:26][CH:27]=[CH:28]1>>[OH:14][C:12]([C:9]=1[CH:10]=[C:11]([C:2]([C:24]=2[CH:25]=[CH:26][CH:27]=[CH:28][CH:23]=2)=[O:1])[C:6](=[CH:7][C:8]=1[C:15]([C:21]3=[CH:22][CH:17]=[CH:18][CH:19]=[CH:20]3)=[O:16])[C:4](=[O:5])[OH:3])=[O:13]
956,[CH2:4]([CH2:5][Br:6])[CH2:3][O:2][CH3:1].[I-:7]>>[CH2:4]([CH2:3][O:2][CH3:1])[CH2:5][I:7]
957,[CH:4]1=[CH:5][CH2:6][C:2]([CH2:3]1)=[O:1]>>[CH2:4]1[CH2:5][CH2:6][C:2]([CH2:3]1)=[O:1]
958,[CH2:6]([Br:5])[C:7]1=[CH:8][CH:9]=[CH:10][CH:11]=[CH:12]1.[O:1]=[C:2]=[O:3].[Mg:4]=[O:13]>>[CH:12]=1[CH:11]=[CH:10][CH:9]=[CH:8][C:7]=1[CH2:6][C:2](=[O:1])[OH:3]
959,[CH:9](=[CH:10][C:11]([O:13][CH3:14])=[O:12])[C:7]([O:6][CH3:5])=[O:8].[CH:2]([CH:3]=[CH2:4])=[CH2:1]>>[CH:2]1=[CH:3][CH2:4][CH:10]([C:11](=[O:12])[O:13][CH3:14])[CH:9]([C:7](=[O:8])[O:6][CH3:5])[CH2:1]1
960,[CH2:7]([CH2:8][CH2:9][C:10]([O:12][CH2:13][CH3:14])=[O:11])[CH2:6][C:4]([O:3][CH2:2][CH3:1])=[O:5]>>[C:4]([CH:6]1[CH2:7][CH2:8][CH2:9][C:10]1=[O:11])(=[O:5])[O:3][CH2:2][CH3:1]
961,[CH2:2]([CH2:3][CH2:4][Br:5])[OH:1].[CH:10]=1[CH:11]=[CH:12][C:7](=[CH:8][CH:9]=1)[OH:6]>>[C:7]=1([CH:8]=[CH:9][CH:10]=[CH:11][CH:12]=1)[O:6][CH2:2][CH2:3][CH2:4][Br:5]
962,[CH2:11]1[C:12]([C:2]2([CH:8]([CH2:9][CH2:10]1)[CH2:7][CH:5]([OH:6])[CH2:4][CH2:3]2)[CH3:1])=[O:13].[OH:14][OH:15]>>[C:2]12([CH3:1])[CH:8]([CH2:9][CH2:10][CH2:11][C:12](=[O:13])[O:15]1)[CH2:7][CH:5]([OH:6])[CH2:4][CH2:3]2
963,[C:14]([CH3:15])(=[CH2:16])[C:12]([O:11][CH3:10])=[O:13].[CH3:1][C:2]1=[CH:3][CH2:4][CH2:5][CH:6]([CH2:7]1)[CH:8]=[CH2:9]>>[CH3:1][C:2]1=[CH:3][CH2:4][CH2:5][CH:6]([CH:8]=[C:14]([C:12]([O:11][CH3:10])=[O:13])[CH3:15])[CH2:7]1
964,[Br:13][S:14]([Br:15])=[O:16].[C:5]1=2[C:10]([CH:9]=[CH:8][CH:7]=[CH:6]1)=[CH:11][CH:12]=[C:3]([CH2:2][OH:1])[CH:4]=2>>[C:10]1=2[C:5]([CH:6]=[CH:7][CH:8]=[CH:9]1)=[CH:4][C:3](=[CH:12][CH:11]=2)[CH2:2][Br:15]
965,[CH2:2]([I:1])[C:3]1=[CH:4][CH:5]=[CH:6][CH:7]=[CH:8]1.[CH3:9][N:10]([CH3:11])[CH3:12]>>[CH3:9][N+:10]([CH3:11])([CH3:12])[CH2:2][C:3]=1[CH:4]=[CH:5][CH:6]=[CH:7][CH:8]=1
966,[CH:15]=1[C:10]([C:2]([CH2:3][C:4]=2[CH:9]=[CH:8][CH:7]=[CH:6][CH:5]=2)=[O:1])=[CH:11][CH:12]=[CH:13][CH:14]=1.[NH2:16][NH2:17]>>[C:2](=[N:17][NH2:16])([CH2:3][C:4]1=[CH:9][CH:8]=[CH:7][CH:6]=[CH:5]1)[C:10]2=[CH:15][CH:14]=[CH:13][CH:12]=[CH:11]2
967,[CH:18]1=[CH:19][CH:20]=[CH:21][C:16](=[CH:17]1)[P:15]([C:28]=2[CH:29]=[CH:30][CH:31]=[CH:32][CH:33]=2)([C:22]=3[CH:27]=[CH:26][CH:25]=[CH:24][CH:23]=3)=[C:12]([CH2:11][CH3:10])[CH2:13][CH3:14].[CH2:6]1[CH2:5][CH:4]([CH2:9][CH2:8][CH2:7]1)[C:2]([CH3:1])=[O:3]>>[CH2:6]1[CH2:5][CH:4]([CH2:9][CH2:8][CH2:7]1)[C:2](=[C:12]([CH2:11][CH3:10])[CH2:13][CH3:14])[CH3:1]
968,[CH3:1][N:2]([CH3:3])[C:4]=1[CH:9]=[CH:8][CH:7]=[CH:6][CH:5]=1.[I:11][CH3:10]>>[CH3:1][N+:2]([CH3:10])([CH3:3])[C:4]=1[CH:5]=[CH:6][CH:7]=[CH:8][CH:9]=1
969,[CH3:8][C:9]([CH3:10])([CH3:11])[O:12][C:13](=[O:14])[O:15][C:16]([O:18][C:19]([CH3:20])([CH3:21])[CH3:22])=[O:17].[NH2:1][CH:2]([CH2:3][OH:4])[C:5](=[O:7])[OH:6]>>[CH3:8][C:9]([CH3:10])([CH3:11])[O:12][C:13](=[O:14])[NH:1][CH:2]([CH2:3][OH:4])[C:5](=[O:7])[OH:6]
970,[CH3:5][C:6]([CH3:8])([CH3:7])[O:9][C:10]([NH:12][CH:13]([C:16]([Cl:17])=[O:18])[CH2:14][OH:15])=[O:11].[CH3:1][NH:2][O:3][CH3:4]>>[CH3:5][C:6]([CH3:8])([CH3:7])[O:9][C:10](=[O:11])[NH:12][CH:13]([C:16]([N:2]([CH3:1])[O:3][CH3:4])=[O:18])[CH2:14][OH:15]
971,[CH2:6]([SH:7])[CH2:5][C:3]([O:2][CH3:1])=[O:4].[NH4+:8].[OH-:9]>>[CH2:6]([SH:7])[CH2:5][C:3]([NH2:8])=[O:4]
972,[NH2:6][CH:5]([C:3]([O:2][CH3:1])=[O:4])[CH2:7][SH:8].[NH4+:9].[OH-:10]>>[NH2:6][CH:5]([CH2:7][SH:8])[C:3]([NH2:9])=[O:4]
973,[CH3:1][NH:2][CH3:3].[O:18]=[S:16](=[O:19])([C:12]1=[CH:11][CH:10]=[C:8]([C:7]=2[C:13]1=[CH:14][CH:15]=[C:5]([CH3:4])[N:6]=2)[OH:9])[Cl:17]>>[O:18]=[S:16](=[O:19])([N:2]([CH3:1])[CH3:3])[C:12]=1[CH:11]=[CH:10][C:8](=[C:7]2[C:13]=1[CH:14]=[CH:15][C:5]([CH3:4])=[N:6]2)[OH:9]
974,[CH3:1][N:2]([CH3:3])[S:4](=[O:5])(=[O:6])[C:7]=1[C:8]=2[CH:9]=[CH:10][C:11](=[N:13][C:14]=2[C:15](=[CH:17][CH:18]=1)[OH:16])[CH3:12].[O:19]=[Se:20]=[O:21]>>[CH3:1][N:2]([CH3:3])[S:4](=[O:5])(=[O:6])[C:7]=1[C:8]2=[C:14]([C:15](=[CH:17][CH:18]=1)[OH:16])[N:13]=[C:11]([CH:12]=[O:21])[CH:10]=[CH:9]2
975,[CH3:1][C:2]=1[N:3]=[C:4]2[C:5]([OH:6])=[CH:7][CH:8]=[CH:9][C:10]2=[CH:11][CH:12]=1.[O:16]=[S:14](=[O:17])([Cl:15])[OH:13]>>[O:16]=[S:14](=[O:17])([C:9]1=[CH:8][CH:7]=[C:5]([C:4]=2[C:10]1=[CH:11][CH:12]=[C:2]([CH3:1])[N:3]=2)[OH:6])[Cl:15]
976,[CH2:2]([CH2:3][CH2:4][CH2:5][CH:6]=[CH2:7])[Cl:1].[I-:8]>>[CH2:2]([I:8])[CH2:3][CH2:4][CH2:5][CH:6]=[CH2:7]
977,[CH2:6]1[CH2:7][CH2:8][CH2:9][CH2:10][C:5]1=[O:4].[N:3]#[N+:2][CH3:1]>>[CH2:8]1[CH2:9][CH2:10][CH2:1][C:5]([CH2:6][CH2:7]1)=[O:4]
978,[C:3](=[O:4])=[N:2][CH3:1].[OH2:5]>>[CH3:1][NH2:2].[O:4]=[C:3]=[O:5]
979,[C:3](=[O:4])=[N:2][CH3:1].[CH3:5][CH2:6][NH2:7]>>[NH:7]([C:3](=[O:4])[NH:2][CH3:1])[CH2:6][CH3:5]
980,[C:3](=[O:4])=[N:2][CH3:1].[CH2:6]([CH3:5])[OH:7]>>[C:3](=[O:4])([NH:2][CH3:1])[O:7][CH2:6][CH3:5]
981,[CH2:2]([C:3]([Cl:4])=[O:5])[CH3:1].[N-:8]=[N+:7]=[N-:6]>>[C:3](=[O:5])=[N:8][CH2:2][CH3:1]
982,[CH2:3]([CH2:2][CH3:1])[CH2:4][CH2:5][CH2:6][OH:7].[Br-:8]>>[CH2:3]([CH2:2][CH3:1])[CH2:4][CH2:5][CH2:6][Br:8]
983,[CH2:2]([CH3:1])[C:3]([O:5][CH3:6])=[O:4].[IH:7]>>[CH2:2]([CH3:1])[C:3](=[O:4])[OH:5]
984,[Br:8][Br:7].[CH:4]1=[CH:5][CH2:6][CH2:1][CH2:2][CH2:3]1>>[CH2:3]1[CH2:2][CH2:1][CH2:6][CH:5]([CH:4]1[Br:8])[Br:7]
985,[CH2:5]1[CH2:6][C:7](=[O:8])[N:2]([C:3]1=[O:4])[Br:1].[CH:14]=1[CH:15]=[N:16][C:11](=[CH:12][CH:13]=1)[CH2:10][OH:9]>>[Br:1][CH2:10][C:11]1=[CH:12][CH:13]=[CH:14][CH:15]=[N:16]1
986,[NH2:1][CH:2]([OH:3])[CH:4]([OH:5])[CH:6]=[CH2:7].[O:9]([CH3:8])[P:10]([O:11][CH3:12])[O:13][CH3:14]>>[O:11]([CH3:12])[P:10]([O:13][CH3:14])(=[O:9])[O:3][CH:2]([CH:4]([OH:5])[CH:6]=[CH2:7])[NH2:1]
987,[CH2:9]=[CH:8][CH2:7][CH2:6][Br:5].[CH3:1][C:2](=[O:4])[SH:3]>>[CH3:1][C:2](=[O:4])[S:3][CH2:6][CH2:7][CH:8]=[CH2:9]
988,[CH2:6]([SH:7])[CH2:5][O:4][C:2]([CH3:1])=[O:3]>>[CH2:5]1[CH2:6][S:7]1
989,[CH2:10]([CH2:11][Br:12])[CH3:9].[CH:4]=1[CH:5]=[CH:6][CH:7]=[CH:8][C:3]=1[C:2]#[CH:1]>>[C:2](#[C:1][CH2:11][CH2:10][CH3:9])[C:3]1=[CH:8][CH:7]=[CH:6][CH:5]=[CH:4]1
990,[CH:13]=1[CH:14]=[CH:15][CH:16]=[CH:17][C:12]=1[CH2:11][O:10][C:8]([Cl:7])=[O:9].[OH:6][CH2:5][CH2:4][CH2:3][CH2:2][NH2:1]>>[NH:1]([CH2:2][CH2:3][CH2:4][CH2:5][OH:6])[C:8]([O:10][CH2:11][C:12]1=[CH:17][CH:16]=[CH:15][CH:14]=[CH:13]1)=[O:9]
991,[C:3]1(=[O:4])[C:5]=2[C:6]([C:11](=[O:12])[N:2]1[OH:1])=[CH:7][CH:8]=[CH:9][CH:10]=2.[NH:18]([CH2:17][CH2:16][CH2:15][CH2:14][OH:13])[C:19]([O:21][CH2:22][C:23]1=[CH:24][CH:25]=[CH:26][CH:27]=[CH:28]1)=[O:20]>>[O:4]=[C:3]1[C:5]=2[C:6](=[CH:7][CH:8]=[CH:9][CH:10]=2)[C:11](=[O:12])[N:2]1[O:1][CH2:14][CH2:15][CH2:16][CH2:17][NH:18][C:19](=[O:20])[O:21][CH2:22][C:23]=3[CH:24]=[CH:25][CH:26]=[CH:27][CH:28]=3
992,[CH:9]1=[CH:10][C:5](=[CH:6][CH:7]=[CH:8]1)[CH2:4][O:3][PH:2]([O:11][CH2:12][C:13]=2[CH:18]=[CH:17][CH:16]=[CH:15][CH:14]=2)=[O:1].[CH2:23]1[CH2:24][C:25](=[O:26])[N:20]([C:21]1=[O:22])[Cl:19]>>[O:3]([CH2:4][C:5]=1[CH:6]=[CH:7][CH:8]=[CH:9][CH:10]=1)[P:2]([O:11][CH2:12][C:13]=2[CH:14]=[CH:15][CH:16]=[CH:17][CH:18]=2)(=[O:1])[Cl:19]
993,[C:2]1(=[O:1])[CH2:3][CH2:4][C:5](=[O:6])[NH:7]1.[O:11]([CH2:12][C:13]=1[CH:18]=[CH:17][CH:16]=[CH:15][CH:14]=1)[P:9]([O:19][CH2:20][C:21]=2[CH:26]=[CH:25][CH:24]=[CH:23][CH:22]=2)(=[O:10])[Cl:8]>>[CH2:3]1[CH2:4][C:5](=[O:6])[N:7]([C:2]1=[O:1])[P:9]([O:11][CH2:12][C:13]=2[CH:14]=[CH:15][CH:16]=[CH:17][CH:18]=2)([O:19][CH2:20][C:21]=3[CH:22]=[CH:23][CH:24]=[CH:25][CH:26]=3)=[O:10]
994,[CH3:6][C:7]([CH3:8])([CH3:9])[O:10][C:11](=[O:12])[O:13][C:14]([O:16][C:17]([CH3:18])([CH3:19])[CH3:20])=[O:15].[NH2:4][C:3](=[O:5])[CH2:2][NH2:1]>>[CH3:6][C:7]([CH3:8])([CH3:9])[O:10][C:11](=[O:12])[NH:1][CH2:2][C:3](=[O:5])[NH2:4]
995,[CH2:3]1[CH2:4][C:5](=[O:6])[N:7]([C:2]1=[O:1])[P:8]([O:10][CH2:11][C:12]=2[CH:17]=[CH:16][CH:15]=[CH:14][CH:13]=2)([O:18][CH2:19][C:20]=3[CH:25]=[CH:24][CH:23]=[CH:22][CH:21]=3)=[O:9].[NH3:26]>>[CH2:11]([C:12]1=[CH:17][CH:16]=[CH:15][CH:14]=[CH:13]1)[O:10][P:8]([O:18][CH2:19][C:20]2=[CH:25][CH:24]=[CH:23][CH:22]=[CH:21]2)(=[O:9])[NH:7][C:2](=[O:1])[CH2:3][CH2:4][C:5]([NH2:26])=[O:6]
996,[CH2:3]1[CH2:4][C:5](=[O:6])[N:7]([C:2]1=[O:1])[P:8]([O:10][CH2:11][C:12]=2[CH:17]=[CH:16][CH:15]=[CH:14][CH:13]=2)([O:18][CH2:19][C:20]=3[CH:25]=[CH:24][CH:23]=[CH:22][CH:21]=3)=[O:9].[NH2:26][CH2:27][CH2:28][NH2:29]>>[O:10]([CH2:11][C:12]=1[CH:13]=[CH:14][CH:15]=[CH:16][CH:17]=1)[P:8]([O:18][CH2:19][C:20]=2[CH:21]=[CH:22][CH:23]=[CH:24][CH:25]=2)([NH:7][C:2]([CH2:3][CH2:4][C:5](=[O:6])[NH:26][CH2:27][CH2:28][NH2:29])=[O:1])=[O:9]
997,[C:2]([CH3:1])(=[CH2:3])[CH:4]=[CH2:5].[CH3:6][C:7](=[O:8])[CH:9]=[CH2:10]>>[CH:4]1=[C:2]([CH2:3][CH2:10][CH:9]([C:7]([CH3:6])=[O:8])[CH2:5]1)[CH3:1]
